Year ,Age ,PTL_active ,PTL_TTL_active ,PTL_annuitant ,PTL_TTL_annuitant ,PTL_GRAND_TTL 
X2014 , 72 , 811036114.56 , 266687984851.008 , 623069850 , 1246139700 , 314131867401.008 
X2014 , 73 , 811036114.56 , 267499020965.568 , 575141400 , 1150282800 , 316093186315.568 
X2014 , 74 , 811036114.56 , 268310057080.128 , 527212950 , 1054425900 , 317958648330.128 
X2014 , 75 , 811036114.56 , 268310057080.128 , 479284500 , 958569000 , 318917217330.128 
X2014 , 76 , 811036114.56 , 268310057080.128 , 307906875 , 615813750 , 319533031080.128 
X2014 , 77 , 811036114.56 , 268310057080.128 , 273695000 , 547390000 , 320080421080.128 
X2014 , 78 , 811036114.56 , 268310057080.128 , 239483125 , 478966250 , 320559387330.128 
X2014 , 79 , 811036114.56 , 268310057080.128 , 205271250 , 410542500 , 320969929830.128 
X2014 , 80 , 811036114.56 , 268310057080.128 , 171059375 , 342118750 , 321312048580.128 
X2014 , 81 , 811036114.56 , 268310057080.128 , 96366100 , 192732200 , 321504780780.128 
X2014 , 82 , 811036114.56 , 268310057080.128 , 72274575 , 144549150 , 321649329930.128 
X2014 , 83 , 811036114.56 , 268310057080.128 , 48183050 , 96366100 , 321745696030.128 
X2014 , 84 , 811036114.56 , 268310057080.128 , 24091525 , 48183050 , 321793879080.128 
X2014 , 85 , 811036114.56 , 268310057080.128 , 24091525 , 48183050 , 321842062130.128 
X2014 , 86 , 811036114.56 , 268310057080.128 , 12443575 , 24887150 , 321866949280.128 
X2014 , 87 , 811036114.56 , 268310057080.128 , 12443575 , 24887150 , 321891836430.128 
X2014 , 88 , 811036114.56 , 268310057080.128 , 12443575 , 24887150 , 321916723580.128 
X2014 , 89 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321926271080.128 
X2014 , 90 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321935818580.128 
X2014 , 91 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321945366080.128 
X2014 , 92 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321954913580.128 
X2014 , 93 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321964461080.128 
X2014 , 94 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321974008580.128 
X2014 , 95 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321983556080.128 
X2014 , 96 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 321993103580.128 
X2014 , 97 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 322002651080.128 
X2014 , 98 , 811036114.56 , 268310057080.128 , 4773750 , 9547500 , 322012198580.128 
X2014 , 99 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 100 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 101 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 102 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 103 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 104 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 105 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 106 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 107 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 108 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 109 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 110 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 111 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 112 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 113 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 114 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 115 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 116 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 117 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 118 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 119 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 120 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 121 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 122 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 123 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 124 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2014 , 125 , 811036114.56 , 268310057080.128 , 541025 , 1082050 , 322013280630.128 
X2015 , 1 , 0 , 0 , 0 , 0 , 0 
X2015 , 2 , 0 , 0 , 0 , 0 , 0 
X2015 , 3 , 0 , 0 , 0 , 0 , 0 
X2015 , 4 , 0 , 0 , 0 , 0 , 0 
X2015 , 5 , 0 , 0 , 0 , 0 , 0 
X2015 , 6 , 0 , 0 , 0 , 0 , 0 
X2015 , 7 , 0 , 0 , 0 , 0 , 0 
X2015 , 8 , 0 , 0 , 0 , 0 , 0 
X2015 , 9 , 0 , 0 , 0 , 0 , 0 
X2015 , 10 , 0 , 0 , 0 , 0 , 0 
X2015 , 11 , 0 , 0 , 0 , 0 , 0 
X2015 , 12 , 0 , 0 , 0 , 0 , 0 
X2015 , 13 , 0 , 0 , 0 , 0 , 0 
X2015 , 14 , 0 , 0 , 0 , 0 , 0 
X2015 , 15 , 0 , 0 , 0 , 0 , 0 
X2015 , 16 , 0 , 0 , 0 , 0 , 0 
X2015 , 17 , 0 , 0 , 0 , 0 , 0 
X2015 , 18 , 0 , 0 , 0 , 0 , 0 
X2015 , 19 , 0 , 0 , 0 , 0 , 0 
X2015 , 20 , 201149736.48 , 201149736.48 , 0 , 0 , 201149736.48 
X2015 , 21 , 201149736.48 , 402299472.96 , 0 , 0 , 402299472.96 
X2015 , 22 , 201149736.48 , 603449209.44 , 0 , 0 , 603449209.44 
X2015 , 23 , 201149736.48 , 804598945.92 , 0 , 0 , 804598945.92 
X2015 , 24 , 201149736.48 , 1005748682.4 , 0 , 0 , 1005748682.4 
X2015 , 25 , 703178910.72 , 1708927593.12 , 0 , 0 , 1708927593.12 
X2015 , 26 , 703178910.72 , 2412106503.84 , 0 , 0 , 2412106503.84 
X2015 , 27 , 703178910.72 , 3115285414.56 , 0 , 0 , 3115285414.56 
X2015 , 28 , 703178910.72 , 3818464325.28 , 0 , 0 , 3818464325.28 
X2015 , 29 , 703178910.72 , 4521643236 , 0 , 0 , 4521643236 
X2015 , 30 , 1780766784.72 , 6302410020.72 , 0 , 0 , 6302410020.72 
X2015 , 31 , 1780766784.72 , 8083176805.44 , 0 , 0 , 8083176805.44 
X2015 , 32 , 1780766784.72 , 9863943590.16 , 0 , 0 , 9863943590.16 
X2015 , 33 , 1780766784.72 , 11644710374.88 , 0 , 0 , 11644710374.88 
X2015 , 34 , 1780766784.72 , 13425477159.6 , 0 , 0 , 13425477159.6 
X2015 , 35 , 3628865203.92 , 17054342363.52 , 0 , 0 , 17054342363.52 
X2015 , 36 , 3628865203.92 , 20683207567.44 , 0 , 0 , 20683207567.44 
X2015 , 37 , 3628865203.92 , 24312072771.36 , 0 , 0 , 24312072771.36 
X2015 , 38 , 3628865203.92 , 27940937975.28 , 0 , 0 , 27940937975.28 
X2015 , 39 , 3628865203.92 , 31569803179.2 , 0 , 0 , 31569803179.2 
X2015 , 40 , 6464400354.72 , 38034203533.92 , 0 , 0 , 38034203533.92 
X2015 , 41 , 6464400354.72 , 44498603888.64 , 0 , 0 , 44498603888.64 
X2015 , 42 , 6464400354.72 , 50963004243.36 , 0 , 0 , 50963004243.36 
X2015 , 43 , 6460456242.24 , 57423460485.6 , 0 , 0 , 57423460485.6 
X2015 , 44 , 6460456242.24 , 63883916727.84 , 0 , 0 , 63883916727.84 
X2015 , 45 , 10020299477.76 , 73904216205.6 , 0 , 0 , 73904216205.6 
X2015 , 46 , 10020299477.76 , 83924515683.36 , 0 , 0 , 83924515683.36 
X2015 , 47 , 10020299477.76 , 93944815161.12 , 0 , 0 , 93944815161.12 
X2015 , 48 , 10020299477.76 , 103965114638.88 , 0 , 0 , 103965114638.88 
X2015 , 49 , 10020299477.76 , 113985414116.64 , 0 , 0 , 113985414116.64 
X2015 , 50 , 12080253081.6 , 126065667198.24 , 227165400 , 454330800 , 126519997998.24 
X2015 , 51 , 12080253081.6 , 138145920279.84 , 600726280 , 1201452560 , 139801703639.84 
X2015 , 52 , 12080253081.6 , 150226173361.44 , 583057860 , 1166115720 , 153048072441.44 
X2015 , 53 , 12080253081.6 , 162306426443.04 , 565389440 , 1130778880 , 166259104403.04 
X2015 , 54 , 12080253081.6 , 174386679524.64 , 547721020 , 1095442040 , 179434799524.64 
X2015 , 55 , 10164541305.6 , 184551220830.24 , 530052600 , 1060105200 , 190659446030.24 
X2015 , 56 , 10164541305.6 , 194715762135.84 , 1177818180 , 2355636360 , 203179623695.84 
X2015 , 57 , 10164541305.6 , 204880303441.44 , 1137203760 , 2274407520 , 215618572521.44 
X2015 , 58 , 10164541305.6 , 215044844747.04 , 1096589340 , 2193178680 , 227976292507.04 
X2015 , 59 , 10164541305.6 , 225209386052.64 , 1055974920 , 2111949840 , 240252783652.64 
X2015 , 60 , 6710625662.4 , 231920011715.04 , 1015360500 , 2030721000 , 248994130315.04 
X2015 , 61 , 6710625662.4 , 238630637377.44 , 1813389600 , 3626779200 , 259331535177.44 
