YOS,TERM
0,0.18
1,0.12
2,0.06
3,0.055
4,0.05
5,0.045
6,0.035
7,0.03
8,0.03
9,0.025
10,0.02
11,0.02
12,0.02
13,0.02
14,0.015
15,0.015
16,0.015
17,0.013
18,0.013
19,0.013
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
